master_id,name_ja,etype_id,etype_en,name_en,name_tw,in_wiki_list
131,25mm三連装機銃 集中配備,15,Anti-Aircraft Gun,25mm Triple Autocannon Mount (Concentrated Deployment),25mm三連裝機銃 集中配備,1
132,零式水中聴音機,18,Large Sonar,Type 0 Passive Sonar,零式水中聽音機,1
133,381mm/50 三連装砲,3,Large Caliber Main Gun,381mm/50 Triple Gun Mount,381mm/50 三連裝砲,1
134,OTO 152mm三連装速射砲,4,Secondary Gun,OTO 152mm Triple Rapid Fire Gun Mount,OTO 152mm三連裝速射砲,1
135,90mm単装高角砲,16,Secondary Gun,90mm Single High-angle Gun Mount,90mm單裝高角砲,1
136,プリエーゼ式水中防御隔壁,23,Extra Armor (Large),Pugliese Underwater Protection Bulkhead,,1
137,381mm/50 三連装砲改,3,Large Caliber Main Gun,381mm/50 Triple Gun Mount Kai,381mm/50 三連裝砲改,1
138,二式大艇,33,Large Flying Boat,Type 2 Large Flying Boat,二式大艇,1
139,15.2cm連装砲改,2,Medium Caliber Main Gun,15.2cm Twin Gun Mount Kai,15.2cm連裝砲改,1
140,96式150cm探照灯,24,Large Searchlight,Type 96 150cm Searchlight,96式150cm探照燈,1
141,32号対水上電探改,11,Large Radar,Type 32 Surface Radar Kai,32號對水上電探改,1
142,15m二重測距儀+21号電探改二,11,Large Radar (II),15m Duplex Rangefinder + Type 21 Radar Kai 2,15m二重測距儀+21號電探改二,1
143,九七式艦攻(村田隊),8,Carrier-based Torpedo Bomber,Type 97 Torpedo Bomber (Murata Squadron),九七式艦攻(村田隊),1
144,天山一二型(村田隊),8,Carrier-based Torpedo Bomber,Tenzan Model 12 (Murata Squadron),天山一二型(村田隊),1
145,戦闘糧食,34,Combat Ration,Combat Ration,戰鬭糧食,1
146,洋上補給,35,Supplies,Underway Replenishment,洋上補給,1
147,120mm/50 連装砲,1,Small Caliber Main Gun,120mm/50 Twin Gun Mount,120mm/50 連裝砲,1
148,試製南山,7,Carrier-based Dive Bomber,Prototype Nanzan,試製南山,1
149,四式水中聴音機,18,Small Sonar,Type 4 Passive Sonar,四式水中聽音機,1
150,秋刀魚の缶詰,34,Combat Ration,Canned Saury,,1
151,試製景雲(艦偵型),9,Carrier-based Reconnaissance Aircraft (II),Prototype Keiun (Carrier-based Reconnaissance Model),試製景雲(艦偵型),1
152,零式艦戦52型(熟練),6,Carrier-based Fighter,Type 0 Fighter Model 52 (Skilled),零式艦戰52型(熟練),1
153,零戦52型丙(付岩井小隊),6,Carrier-based Fighter,Zero Fighter Model 52C (w/ Iwai Flight),零戰52型丙(付岩井小隊),1
154,零戦62型(爆戦/岩井隊),7,Carrier-based Dive Bomber,Zero Fighter Model 62 (Fighter-bomber / Iwai Squadron),零戰62型(爆戰/岩井隊),1
155,零戦21型(付岩本小隊),6,Carrier-based Fighter,Zero Fighter Model 21 (w/ Iwamoto Flight),零戰21型(付岩本小隊),1
156,零戦52型甲(付岩本小隊),6,Carrier-based Fighter,Zero Fighter Model 52A (w/ Iwamoto Flight),零戰52型甲(付岩本小隊),1
157,零式艦戦53型(岩本隊),6,Carrier-based Fighter,Type 0 Fighter Model 53 (Iwamoto Squadron),零式艦戰53型(岩本隊),1
158,Bf109T改,6,Carrier-based Fighter,Bf 109T Kai,Bf109T改,1
159,Fw190T改,6,Carrier-based Fighter,Fw 190T Kai,Fw190T改,1
160,10.5cm連装砲,16,Secondary Gun,10.5cm Twin Gun Mount,10.5cm連裝砲,1
161,16inch三連装砲 Mk.7,3,Large Caliber Main Gun,16inch Triple Gun Mount Mk.7,16inch三連裝砲 Mk.7,1
162,203mm/53 連装砲,2,Medium Caliber Main Gun,203mm/53 Twin Gun Mount,203mm/53 連裝砲,1
163,Ro.43水偵,10,Reconnaissance Seaplane,Ro.43 Reconnaissance Seaplane,Ro.43水偵,1
164,Ro.44水上戦闘機,43,Seaplane Fighter,Ro.44 Seaplane Fighter,Ro.44水上戰鬭機,1
165,二式水戦改,43,Seaplane Fighter,Type 2 Seaplane Fighter Kai,二式水戰改,1
166,大発動艇(八九式中戦車&陸戦隊),20,Landing Craft,Daihatsu Landing Craft (Type 89 Medium Tank & Landing Force),大發動艇(八九式中戰車&陸戰隊),1
167,特二式内火艇,36,Special Amphibious Tank,Special Type 2 Amphibious Tank,特二式内火艇,1
168,九六式陸攻,37,Land-based Attack Aircraft,Type 96 Land-based Attack Aircraft,九六式陸攻,1
169,一式陸攻,37,Land-based Attack Aircraft,Type 1 Land-based Attack Aircraft,一式陸攻,1
170,一式陸攻(野中隊),37,Land-based Attack Aircraft,Type 1 Land-based Attack Aircraft (Nonaka Squadron),一式陸攻(野中隊),1
171,OS2U,10,Reconnaissance Seaplane,OS2U,OS2U,1
172,5inch連装砲 Mk.28 mod.2,16,Secondary Gun,5inch Twin Gun Mount Mk.28 mod.2,5inch連裝砲 Mk.28 mod.2,1
173,Bofors 40mm四連装機関砲,15,Anti-Aircraft Gun,Bofors 40mm Quadruple Autocannon Mount,Bofors 40mm四連裝機關砲,1
174,53cm連装魚雷,5,Torpedo,53cm Twin Torpedo Mount,53cm連裝魚雷,1
175,雷電,38,Land-based Fighter,Raiden,雷電,1
176,三式戦 飛燕,44,Land-based Fighter,Type 3 Fighter Hien,三式戰 飛燕,1
177,三式戦 飛燕(飛行第244戦隊),44,Land-based Fighter,Type 3 Fighter Hien (244th Air Combat Group),三式戰 飛燕(飛行第244戰隊),1
178,PBY-5A Catalina,33,Large Flying Boat,PBY-5A Catalina,PBY-5A Catalina,1
179,試製61cm六連装(酸素)魚雷,5,Torpedo,Prototype 61cm Sextuple (Oxygen) Torpedo Mount,試製61cm六連裝(酸素)魚雷,1
180,一式陸攻 二二型甲,37,Land-based Attack Aircraft,Type 1 Land-based Attack Aircraft Model 22A,一式陸攻 二二型甲,1
181,零式艦戦32型,6,Carrier-based Fighter,Type 0 Fighter Model 32,零式艦戰32型,1
182,零式艦戦32型(熟練),6,Carrier-based Fighter,Type 0 Fighter Model 32 (Skilled),零式艦戰32型(熟練),1
183,16inch三連装砲 Mk.7+GFCS,3,Large Caliber Main Gun,16inch Triple Gun Mount Mk.7 + GFCS,16inch三連裝砲 Mk.7+GFCS,1
184,Re.2001 OR改,6,Carrier-based Fighter,Re.2001 OR Kai,Re.2001 OR改,1
185,三式戦 飛燕一型丁,44,Land-based Fighter,Type 3 Fighter Hien Model 1D,三式戰 飛燕一型丁,1
186,一式陸攻 三四型,37,Land-based Attack Aircraft,Type 1 Land-based Attack Aircraft Model 34,一式陸攻 三四型,1
187,銀河,37,Land-based Attack Aircraft,Ginga,銀河,1
188,Re.2001 G改,8,Carrier-based Torpedo Bomber,Re.2001 G Kai,Re.2001 G改,1
189,Re.2005 改,6,Carrier-based Fighter,Re.2005 Kai,Re.2005 改,1
190,38.1cm Mk.I連装砲,3,Large Caliber Main Gun,38.1cm Mk.I Twin Gun Mount,38.1cm Mk.I連裝砲,1
191,QF 2ポンド8連装ポンポン砲,15,Anti-Aircraft Gun,QF 2-pounder Octuple Pom-pom Gun Mount,,1
192,38.1cm Mk.I/N連装砲改,3,Large Caliber Main Gun,38.1cm Mk.I/N Twin Gun Mount Kai,38.1cm Mk.I/N連裝砲改,1
193,特大発動艇,20,Landing Craft,Toku Daihatsu Landing Craft,特大發動艇,1
194,Laté 298B,10,Seaplane Bomber,Laté 298B,Laté 298B,1
195,SBD,7,Carrier-based Dive Bomber,SBD,SBD,1
196,TBD,8,Carrier-based Torpedo Bomber,TBD,TBD,1
197,F4F-3,6,Carrier-based Fighter,F4F-3,F4F-3,1
198,F4F-4,6,Carrier-based Fighter,F4F-4,F4F-4,1
199,噴式景雲改,39,Jet-powered Fighter-Bomber,Jet Keiun Kai,噴式景雲改,1
200,橘花改,40,Jet-powered Fighter-Bomber,Kikka Kai,橘花改,1
201,紫電一一型,38,Land-based Fighter,Shiden Model 11,紫電一一型,1
202,紫電二一型 紫電改,38,Land-based Fighter,Shiden Model 21 Shiden Kai,紫電二一型 紫電改,1
203,艦本新設計 増設バルジ(中型艦),23,Extra Armor (Medium),New Kanhon Design Anti-torpedo Bulge (Medium),,1
204,艦本新設計 増設バルジ(大型艦),23,Extra Armor (Large),New Kanhon Design Anti-torpedo Bulge (Large),,1
205,F6F-3,6,Carrier-based Fighter,F6F-3,F6F-3,1
206,F6F-5,6,Carrier-based Fighter,F6F-5,F6F-5,1
207,瑞雲(六三一空),10,Seaplane Bomber,Zuiun (631 Air Group),瑞雲(六三一空),1
208,晴嵐(六三一空),10,Seaplane Bomber,Seiran (631 Air Group),晴嵐(六三一空),1
209,彩雲(輸送用分解済),41,Transportation Material,Saiun (Disassembled for Transport),彩雲(輸送用分解濟),1
210,潜水艦搭載電探&水防式望遠鏡,42,Submarine Equipment,Submarine Radar & Waterproof Telescope,潛水艦搭載電探&水防式望遠鏡,1
211,潜水艦搭載電探&逆探(E27),42,Submarine Equipment,Submarine Radar & Passive Radiolocator (E27),潛水艦搭載電探&逆探(E27),1
212,彩雲(東カロリン空),9,Carrier-based Reconnaissance Aircraft,Saiun (Eastern Caroline Air Group),,1
213,後期型艦首魚雷(6門),5,Submarine Torpedo,Late Model Bow Torpedo Mount (6 tubes),後期型艦首魚雷(6門),1
214,熟練聴音員+後期型艦首魚雷(6門),5,Submarine Torpedo,Skilled Sonar Personnel + Late Model Bow Torpedo Mount (6 tubes),熟練聽音員+後期型艦首魚雷(6門),1
215,Ro.44水上戦闘機bis,43,Seaplane Fighter,Ro.44 Seaplane Fighter bis,Ro.44水上戰鬭機bis,1
216,二式水戦改(熟練),43,Seaplane Fighter,Type 2 Seaplane Fighter Kai (Skilled),二式水戰改(熟練),1
217,強風改,43,Seaplane Fighter,Kyoufuu Kai,強風改,1
218,四式戦 疾風,44,Land-based Fighter,Type 4 Fighter Hayate,四式戰 疾風,1
219,零式艦戦63型(爆戦),7,Carrier-based Dive Bomber,Type 0 Fighter Model 63 (Fighter-bomber),零式艦戰63型(爆戰),1
220,8cm高角砲改+増設機銃,16,Secondary Gun,8cm High-angle Gun Kai + Additional Machine Guns,8cm高角砲改+增設機銃,1
221,一式戦 隼II型,44,Land-based Fighter,Type 1 Fighter Hayabusa Model II,一式戰 隼II型,1
222,一式戦 隼III型甲,44,Land-based Fighter,Type 1 Fighter Hayabusa Model III A,一式戰 隼III型甲,1
223,一式戦 隼III型甲(54戦隊),44,Land-based Fighter,Type 1 Fighter Hayabusa Model III A (54th Squadron),一式戰 隼III型甲(54戰隊),1
224,爆装一式戦 隼III型改(65戦隊),44,Land-based Attack Aircraft,Bomb-carrying Type 1 Fighter Hayabusa Model III Kai (65th Squadron),爆裝一式戰 隼III型改(65戰隊),1
225,一式戦 隼II型(64戦隊),44,Land-based Fighter,Type 1 Fighter Hayabusa Model II (64th Squadron),一式戰 隼II型(64戰隊),1
226,九五式爆雷,17,Depth Charge,Type 95 Depth Charge,九五式爆雷,1
227,二式爆雷,17,Depth Charge,Type 2 Depth Charge,二式爆雷,1
228,九六式艦戦改,6,Carrier-based Fighter,Type 96 Fighter Kai,九六式艦戰改,1
229,12.7cm単装高角砲(後期型),16,Small Caliber Main Gun,12.7cm Single High-angle Gun Mount (Late Model),12.7cm單裝高角砲(後期型),1
230,特大発動艇+戦車第11連隊,20,Landing Craft,Toku Daihatsu Landing Craft + 11th Tank Regiment,特大發動艇+戰車第11聯隊,1
231,30.5cm三連装砲,3,Large Caliber Main Gun,30.5cm Triple Gun Mount,30.5cm三連裝砲,1
232,30.5cm三連装砲改,3,Large Caliber Main Gun,30.5cm Triple Gun Mount Kai,30.5cm三連裝砲改,1
233,F4U-1D,7,Carrier-based Dive Bomber,F4U-1D,F4U-1D,1
234,15.5cm三連装副砲改,4,Secondary Gun,15.5cm Triple Secondary Gun Mount Kai,15.5cm三連裝副砲改,1
235,15.5cm三連装砲改,2,Medium Caliber Main Gun,15.5cm Triple Gun Mount Kai,15.5cm三連裝砲改,1
236,41cm三連装砲改,3,Large Caliber Main Gun,41cm Triple Gun Mount Kai,41cm三連裝砲改,1
237,瑞雲(六三四空/熟練),10,Seaplane Bomber,Zuiun (634 Air Group/Skilled),瑞雲(六三四空/熟練),1
238,零式水上偵察機11型乙,10,Reconnaissance Seaplane,Type 0 Reconnaissance Seaplane Model 11B,零式水上偵察機11型乙,1
239,零式水上偵察機11型乙(熟練),10,Reconnaissance Seaplane,Type 0 Reconnaissance Seaplane Model 11B (Skilled),零式水上偵察機11型乙(熟練),1
240,22号対水上電探改四(後期調整型),11,Small Radar,Type 22 Surface Radar Kai 4 (Calibrated Late Model),22號對水上電探改四(後期調整型),1
241,戦闘糧食(特別なおにぎり),34,Combat Ration,Combat Ration (Special Onigiri),,1
242,Swordfish,8,Carrier-based Torpedo Bomber,Swordfish,Swordfish,1
243,Swordfish Mk.II(熟練),8,Carrier-based Torpedo Bomber,Swordfish Mk.II (Skilled),Swordfish Mk.II(熟練),1
244,Swordfish Mk.III(熟練),8,Carrier-based Torpedo Bomber,Swordfish Mk.III (Skilled),Swordfish Mk.III(熟練),1
245,38cm四連装砲,3,Large Caliber Main Gun,38cm Quadruple Gun Mount,38cm四連裝砲,1
246,38cm四連装砲改,3,Large Caliber Main Gun,38cm Quadruple Gun Mount Kai,38cm四連裝砲改,1
247,15.2cm三連装砲,4,Secondary Gun,15.2cm Triple Gun Mount,15.2cm三連裝砲,1
248,Skua,7,Carrier-based Dive Bomber,Skua,Skua,1
249,Fulmar,6,Carrier-based Fighter,Fulmar,Fulmar,1
250,Spitfire Mk.I,44,Land-based Fighter,Spitfire Mk.I,Spitfire Mk.I,1
251,Spitfire Mk.V,44,Land-based Fighter,Spitfire Mk.V,Spitfire Mk.V,1
252,Seafire Mk.III改,6,Carrier-based Fighter,Seafire Mk.III Kai,Seafire Mk.III改,1
253,Spitfire Mk.IX(熟練),44,Land-based Fighter,Spitfire Mk.IX (Skilled),Spitfire Mk.IX(熟練),1
254,F6F-3N,45,Carrier-based Fighter,F6F-3N,F6F-3N,1
255,F6F-5N,45,Carrier-based Fighter,F6F-5N,F6F-5N,1
256,TBF,8,Carrier-based Torpedo Bomber,TBF,TBF,1
