line_id,dex,stage,master_id,name_ja,yomi_ja,stype_ja,wiki_class,wiki_type_abbr,name_en,name_tw
84,7,1,278,加賀改,かが,正規空母,Kaga #1,CV,Kaga Kai,加賀改
84,7,2,698,加賀改二,かが,正規空母,Kaga #1,CV,Kaga Kai Ni,加賀改二
84,7,3,610,加賀改二戊,かが,正規空母,Kaga #1,CV,Kaga Kai Ni E,加賀改二戊
84,7,4,646,加賀改二護,かが,正規空母,Kaga #1,CV,Kaga Kai Ni Go,加賀改二護
90,8,0,90,蒼龍,そうりゅう,正規空母,Souryuu #1,CV,Souryuu,蒼龍
90,8,1,279,蒼龍改,そうりゅう,正規空母,Souryuu #1,CV,Souryuu Kai,蒼龍改
90,8,2,197,蒼龍改二,そうりゅう,正規空母,Souryuu #1,CV,Souryuu Kai Ni,蒼龍改二
91,9,0,91,飛龍,ひりゅう,正規空母,Hiryuu #1,CV,Hiryuu,飛龍
91,9,1,280,飛龍改,ひりゅう,正規空母,Hiryuu #1,CV,Hiryuu Kai,飛龍改
91,9,2,196,飛龍改二,ひりゅう,正規空母,Hiryuu #1,CV,Hiryuu Kai Ni,飛龍改二
91,9,3,1031,飛龍改三,ひりゅう,正規空母,Hiryuu #1,CV,Hiryuu Kai San,飛龍改三
50,10,0,50,島風,しまかぜ,駆逐艦,Shimakaze #1,DD,Shimakaze,島風
50,10,1,229,島風改,しまかぜ,駆逐艦,Shimakaze #1,DD,Shimakaze Kai,島風改
9,11,0,9,吹雪,ふぶき,駆逐艦,Fubuki #1,DD,Fubuki,吹雪
9,11,1,201,吹雪改,ふぶき,駆逐艦,Fubuki #1,DD,Fubuki Kai,吹雪改
9,11,2,426,吹雪改二,ふぶき,駆逐艦,Fubuki #1,DD,Fubuki Kai Ni,吹雪改二
9,11,3,1035,吹雪改三,ふぶき,駆逐艦,Fubuki #1,DD,Fubuki Kai San,吹雪改三
9,11,4,1040,吹雪改三護(六式),ふぶき,駆逐艦,Fubuki #1,DD,Fubuki Kai San Go (Type 6),吹雪改三護(六式)
10,12,0,10,白雪,しらゆき,駆逐艦,Fubuki #2,DD,Shirayuki,白雪
10,12,1,202,白雪改,しらゆき,駆逐艦,Fubuki #2,DD,Shirayuki Kai,白雪改
10,12,2,986,白雪改二,しらゆき,駆逐艦,Fubuki #2,DD,Shirayuki Kai Ni,白雪改二
32,13,0,32,初雪,はつゆき,駆逐艦,Fubuki #3,DD,Hatsuyuki,初雪
32,13,1,203,初雪改,はつゆき,駆逐艦,Fubuki #3,DD,Hatsuyuki Kai,初雪改
32,13,2,987,初雪改二,はつゆき,駆逐艦,Fubuki #3,DD,Hatsuyuki Kai Ni,初雪改二
11,14,0,11,深雪,みゆき,駆逐艦,Fubuki #4,DD,Miyuki,深雪
11,14,1,204,深雪改,みゆき,駆逐艦,Fubuki #4,DD,Miyuki Kai,深雪改
11,14,2,959,深雪改二,みゆき,駆逐艦,Fubuki #4,DD,Miyuki Kai Ni,深雪改二
33,15,0,33,叢雲,むらくも,駆逐艦,Fubuki #5,DD,Murakumo,叢雲
33,15,1,205,叢雲改,むらくも,駆逐艦,Fubuki #5,DD,Murakumo Kai,叢雲改
33,15,2,420,叢雲改二,むらくも,駆逐艦,Fubuki #5,DD,Murakumo Kai Ni,叢雲改二
12,16,0,12,磯波,いそなみ,駆逐艦,Fubuki #9,DD,Isonami,磯波
12,16,1,206,磯波改,いそなみ,駆逐艦,Fubuki #9,DD,Isonami Kai,磯波改
12,16,2,666,磯波改二,いそなみ,駆逐艦,Fubuki #9,DD,Isonami Kai Ni,磯波改二
13,17,0,13,綾波,あやなみ,駆逐艦,Ayanami #1,DD,Ayanami,綾波
13,17,1,207,綾波改,あやなみ,駆逐艦,Ayanami #1,DD,Ayanami Kai,綾波改
13,17,2,195,綾波改二,あやなみ,駆逐艦,Ayanami #1,DD,Ayanami Kai Ni,綾波改二
14,18,0,14,敷波,しきなみ,駆逐艦,Ayanami #2,DD,Shikinami,敷波
14,18,1,208,敷波改,しきなみ,駆逐艦,Ayanami #2,DD,Shikinami Kai,敷波改
14,18,2,627,敷波改二,しきなみ,駆逐艦,Ayanami #2,DD,Shikinami Kai Ni,敷波改二
24,19,0,24,大井,おおい,軽巡洋艦,Kuma #4,CL,Ooi,大井
24,19,1,57,大井改,おおい,重雷装巡洋艦,Kuma #4,CLT,Ooi Kai,大井改
24,19,2,118,大井改二,おおい,重雷装巡洋艦,Kuma #4,CLT,Ooi Kai Ni,大井改二
25,20,0,25,北上,きたかみ,軽巡洋艦,Kuma #3,CL,Kitakami,北上
25,20,1,58,北上改,きたかみ,重雷装巡洋艦,Kuma #3,CLT,Kitakami Kai,北上改
25,20,2,119,北上改二,きたかみ,重雷装巡洋艦,Kuma #3,CLT,Kitakami Kai Ni,北上改二
78,21,0,78,金剛,こんごう,戦艦,Kongou #1,FBB,Kongou,金剛
78,21,1,209,金剛改,こんごう,戦艦,Kongou #1,FBB,Kongou Kai,金剛改
78,21,2,149,金剛改二,こんごう,戦艦,Kongou #1,FBB,Kongou Kai Ni,金剛改二
78,21,3,591,金剛改二丙,こんごう,戦艦,Kongou #1,FBB,Kongou Kai Ni C,金剛改二丙
86,22,0,86,比叡,ひえい,戦艦,Kongou #2,FBB,Hiei,比叡
86,22,1,210,比叡改,ひえい,戦艦,Kongou #2,FBB,Hiei Kai,比叡改
86,22,2,150,比叡改二,ひえい,戦艦,Kongou #2,FBB,Hiei Kai Ni,比叡改二
86,22,3,592,比叡改二丙,ひえい,戦艦,Kongou #2,FBB,Hiei Kai Ni C,比叡改二丙
79,23,0,79,榛名,はるな,戦艦,Kongou #3,FBB,Haruna,榛名
79,23,1,211,榛名改,はるな,戦艦,Kongou #3,FBB,Haruna Kai,榛名改
79,23,2,151,榛名改二,はるな,戦艦,Kongou #3,FBB,Haruna Kai Ni,榛名改二
79,23,3,593,榛名改二乙,はるな,戦艦,Kongou #3,FBB,Haruna Kai Ni B,榛名改二乙
79,23,4,954,榛名改二丙,はるな,戦艦,Kongou #3,FBB,Haruna Kai Ni C,榛名改二丙
85,24,0,85,霧島,きりしま,戦艦,Kongou #4,FBB,Kirishima,霧島
85,24,1,212,霧島改,きりしま,戦艦,Kongou #4,FBB,Kirishima Kai,霧島改
85,24,2,152,霧島改二,きりしま,戦艦,Kongou #4,FBB,Kirishima Kai Ni,霧島改二
85,24,3,694,霧島改二丙,きりしま,戦艦,Kongou #4,FBB,Kirishima Kai Ni C,霧島改二丙
89,25,0,89,鳳翔,ほうしょう,軽空母,Houshou #1,CVL,Houshou,鳳翔
89,25,1,285,鳳翔改,ほうしょう,軽空母,Houshou #1,CVL,Houshou Kai,鳳翔改
89,25,2,894,鳳翔改二,ほうしょう,軽空母,Houshou #1,CVL,Houshou Kai Ni,鳳翔改二
89,25,3,899,鳳翔改二戦,ほうしょう,軽空母,Houshou #1,CVL,Houshou Kai Ni Sen,鳳翔改二戰
26,26,0,26,扶桑,ふそう,戦艦,Fusou #1,BB,Fusou,扶桑
26,26,1,286,扶桑改,ふそう,航空戦艦,Fusou #1,BBV,Fusou Kai,扶桑改
26,26,2,411,扶桑改二,ふそう,航空戦艦,Fusou #1,BBV,Fusou Kai Ni,扶桑改二
27,27,0,27,山城,やましろ,戦艦,Fusou #2,BB,Yamashiro,山城
27,27,1,287,山城改,やましろ,航空戦艦,Fusou #2,BBV,Yamashiro Kai,山城改
27,27,2,412,山城改二,やましろ,航空戦艦,Fusou #2,BBV,Yamashiro Kai Ni,山城改二
51,28,0,51,天龍,てんりゅう,軽巡洋艦,Tenryuu #1,CL,Tenryuu,天龍
51,28,1,213,天龍改,てんりゅう,軽巡洋艦,Tenryuu #1,CL,Tenryuu Kai,天龍改
51,28,2,477,天龍改二,てんりゅう,軽巡洋艦,Tenryuu #1,CL,Tenryuu Kai Ni,天龍改二
52,29,0,52,龍田,たつた,軽巡洋艦,Tenryuu #2,CL,Tatsuta,龍田
52,29,1,214,龍田改,たつた,軽巡洋艦,Tenryuu #2,CL,Tatsuta Kai,龍田改
52,29,2,478,龍田改二,たつた,軽巡洋艦,Tenryuu #2,CL,Tatsuta Kai Ni,龍田改二
76,30,0,76,龍驤,りゅうじょう,軽空母,Ryuujou #1,CVL,Ryuujou,龍驤
76,30,1,281,龍驤改,りゅうじょう,軽空母,Ryuujou #1,CVL,Ryuujou Kai,龍驤改
76,30,2,157,龍驤改二,りゅうじょう,軽空母,Ryuujou #1,CVL,Ryuujou Kai Ni,龍驤改二
1,31,0,1,睦月,むつき,駆逐艦,Mutsuki #1,DD,Mutsuki,睦月
1,31,1,254,睦月改,むつき,駆逐艦,Mutsuki #1,DD,Mutsuki Kai,睦月改
1,31,2,434,睦月改二,むつき,駆逐艦,Mutsuki #1,DD,Mutsuki Kai Ni,睦月改二
2,32,0,2,如月,きさらぎ,駆逐艦,Mutsuki #2,DD,Kisaragi,如月
2,32,1,255,如月改,きさらぎ,駆逐艦,Mutsuki #2,DD,Kisaragi Kai,如月改
2,32,2,435,如月改二,きさらぎ,駆逐艦,Mutsuki #2,DD,Kisaragi Kai Ni,如月改二
28,33,0,28,皐月,さつき,駆逐艦,Mutsuki #5,DD,Satsuki,皐月
28,33,1,256,皐月改,さつき,駆逐艦,Mutsuki #5,DD,Satsuki Kai,皐月改
28,33,2,418,皐月改二,さつき,駆逐艦,Mutsuki #5,DD,Satsuki Kai Ni,皐月改二
29,34,0,29,文月,ふみづき,駆逐艦,Mutsuki #7,DD,Fumizuki,文月
29,34,1,257,文月改,ふみづき,駆逐艦,Mutsuki #7,DD,Fumizuki Kai,文月改
29,34,2,548,文月改二,ふみづき,駆逐艦,Mutsuki #7,DD,Fumizuki Kai Ni,文月改二
6,35,0,6,長月,ながつき,駆逐艦,Mutsuki #8,DD,Nagatsuki,長月
6,35,1,258,長月改,ながつき,駆逐艦,Mutsuki #8,DD,Nagatsuki Kai,長月改
30,36,0,30,菊月,きくづき,駆逐艦,Mutsuki #9,DD,Kikuzuki,菊月
30,36,1,259,菊月改,きくづき,駆逐艦,Mutsuki #9,DD,Kikuzuki Kai,菊月改
7,37,0,7,三日月,みかづき,駆逐艦,Mutsuki #10,DD,Mikazuki,三日月
7,37,1,260,三日月改,みかづき,駆逐艦,Mutsuki #10,DD,Mikazuki Kai,三日月改
31,38,0,31,望月,もちづき,駆逐艦,Mutsuki #11,DD,Mochizuki,望月
31,38,1,261,望月改,もちづき,駆逐艦,Mutsuki #11,DD,Mochizuki Kai,望月改
99,39,0,99,球磨,くま,軽巡洋艦,Kuma #1,CL,Kuma,球磨
99,39,1,215,球磨改,くま,軽巡洋艦,Kuma #1,CL,Kuma Kai,球磨改
99,39,2,652,球磨改二,くま,軽巡洋艦,Kuma #1,CL,Kuma Kai Ni,球磨改二
99,39,3,657,球磨改二丁,くま,軽巡洋艦,Kuma #1,CL,Kuma Kai Ni D,球磨改二丁
100,40,0,100,多摩,たま,軽巡洋艦,Kuma #2,CL,Tama,多摩
100,40,1,216,多摩改,たま,軽巡洋艦,Kuma #2,CL,Tama Kai,多摩改
100,40,2,547,多摩改二,たま,軽巡洋艦,Kuma #2,CL,Tama Kai Ni,多摩改二
101,41,0,101,木曾,きそ,軽巡洋艦,Kuma #5,CL,Kiso,木曾
101,41,1,217,木曾改,きそ,軽巡洋艦,Kuma #5,CL,Kiso Kai,木曾改
101,41,2,146,木曾改二,きそ,重雷装巡洋艦,Kuma #5,CLT,Kiso Kai Ni,木曾改二
21,42,0,21,長良,ながら,軽巡洋艦,Nagara #1,CL,Nagara,長良
21,42,1,218,長良改,ながら,軽巡洋艦,Nagara #1,CL,Nagara Kai,長良改
22,43,0,22,五十鈴,いすず,軽巡洋艦,Nagara #2,CL,Isuzu,五十鈴
22,43,1,219,五十鈴改,いすず,軽巡洋艦,Nagara #2,CL,Isuzu Kai,五十鈴改
22,43,2,141,五十鈴改二,いすず,軽巡洋艦,Nagara #2,CL,Isuzu Kai Ni,五十鈴改二
53,44,0,53,名取,なとり,軽巡洋艦,Nagara #3,CL,Natori,名取
53,44,1,221,名取改,なとり,軽巡洋艦,Nagara #3,CL,Natori Kai,名取改
23,45,0,23,由良,ゆら,軽巡洋艦,Nagara #4,CL,Yura,由良
23,45,1,220,由良改,ゆら,軽巡洋艦,Nagara #4,CL,Yura Kai,由良改
23,45,2,488,由良改二,ゆら,軽巡洋艦,Nagara #4,CL,Yura Kai Ni,由良改二
54,46,0,54,川内,せんだい,軽巡洋艦,Sendai #1,CL,Sendai,川內
54,46,1,222,川内改,せんだい,軽巡洋艦,Sendai #1,CL,Sendai Kai,川内改
54,46,2,158,川内改二,せんだい,軽巡洋艦,Sendai #1,CL,Sendai Kai Ni,川内改二
55,47,0,55,神通,じんつう,軽巡洋艦,Sendai #2,CL,Jintsuu,神通
55,47,1,223,神通改,じんつう,軽巡洋艦,Sendai #2,CL,Jintsuu Kai,神通改
55,47,2,159,神通改二,じんつう,軽巡洋艦,Sendai #2,CL,Jintsuu Kai Ni,神通改二
56,48,0,56,那珂,なか,軽巡洋艦,Sendai #3,CL,Naka,那珂
56,48,1,224,那珂改,なか,軽巡洋艦,Sendai #3,CL,Naka Kai,那珂改
56,48,2,160,那珂改二,なか,軽巡洋艦,Sendai #3,CL,Naka Kai Ni,那珂改二
102,49,0,102,千歳,ちとせ,水上機母艦,Chitose #1,AV,Chitose,千歲
102,49,1,104,千歳改,ちとせ,水上機母艦,Chitose #1,AV,Chitose Kai,千歲改
102,49,2,106,千歳甲,ちとせ,水上機母艦,Chitose #1,AV,Chitose A,千歲甲
102,49,3,108,千歳航,ちとせ,軽空母,Chitose #1,CVL,Chitose Kou,千歲航
102,49,4,291,千歳航改,ちとせ,軽空母,Chitose #1,CVL,Chitose Kou Kai,千歲航改
102,49,5,296,千歳航改二,ちとせ,軽空母,Chitose #1,CVL,Chitose Kou Kai Ni,千歲航改二
103,50,0,103,千代田,ちよだ,水上機母艦,Chitose #2,AV,Chiyoda,千代田
103,50,1,105,千代田改,ちよだ,水上機母艦,Chitose #2,AV,Chiyoda Kai,千代田改
103,50,2,107,千代田甲,ちよだ,水上機母艦,Chitose #2,AV,Chiyoda A,千代田甲
103,50,3,109,千代田航,ちよだ,軽空母,Chitose #2,CVL,Chiyoda Kou,千代田航
103,50,4,292,千代田航改,ちよだ,軽空母,Chitose #2,CVL,Chiyoda Kou Kai,千代田航改
103,50,5,297,千代田航改二,ちよだ,軽空母,Chitose #2,CVL,Chiyoda Kou Kai Ni,千代田航改二
70,51,0,70,最上,もがみ,重巡洋艦,Mogami #1,CA,Mogami,最上
70,51,1,73,最上改,もがみ,航空巡洋艦,Mogami #1,CAV,Mogami Kai,最上改
70,51,2,501,最上改二,もがみ,航空巡洋艦,Mogami #1,CAV,Mogami Kai Ni,最上改二
70,51,3,506,最上改二特,もがみ,航空巡洋艦,Mogami #1,CAV,Mogami Kai Ni Toku,最上改二特
59,52,0,59,古鷹,ふるたか,重巡洋艦,Furutaka #1,CA,Furutaka,古鷹
59,52,1,262,古鷹改,ふるたか,重巡洋艦,Furutaka #1,CA,Furutaka Kai,古鷹改
59,52,2,416,古鷹改二,ふるたか,重巡洋艦,Furutaka #1,CA,Furutaka Kai Ni,古鷹改二
60,53,0,60,加古,かこ,重巡洋艦,Furutaka #2,CA,Kako,加古
60,53,1,263,加古改,かこ,重巡洋艦,Furutaka #2,CA,Kako Kai,加古改
60,53,2,417,加古改二,かこ,重巡洋艦,Furutaka #2,CA,Kako Kai Ni,加古改二
61,54,0,61,青葉,あおば,重巡洋艦,Aoba #1,CA,Aoba,青葉
61,54,1,264,青葉改,あおば,重巡洋艦,Aoba #1,CA,Aoba Kai,青葉改
62,55,0,62,妙高,みょうこう,重巡洋艦,Myoukou #1,CA,Myoukou,妙高
62,55,1,265,妙高改,みょうこう,重巡洋艦,Myoukou #1,CA,Myoukou Kai,妙高改
62,55,2,319,妙高改二,みょうこう,重巡洋艦,Myoukou #1,CA,Myoukou Kai Ni,妙高改二
63,56,0,63,那智,なち,重巡洋艦,Myoukou #2,CA,Nachi,那智
63,56,1,266,那智改,なち,重巡洋艦,Myoukou #2,CA,Nachi Kai,那智改
63,56,2,192,那智改二,なち,重巡洋艦,Myoukou #2,CA,Nachi Kai Ni,那智改二
64,57,0,64,足柄,あしがら,重巡洋艦,Myoukou #3,CA,Ashigara,足柄
64,57,1,267,足柄改,あしがら,重巡洋艦,Myoukou #3,CA,Ashigara Kai,足柄改
64,57,2,193,足柄改二,あしがら,重巡洋艦,Myoukou #3,CA,Ashigara Kai Ni,足柄改二
65,58,0,65,羽黒,はぐろ,重巡洋艦,Myoukou #4,CA,Haguro,羽黑
65,58,1,268,羽黒改,はぐろ,重巡洋艦,Myoukou #4,CA,Haguro Kai,羽黑改
65,58,2,194,羽黒改二,はぐろ,重巡洋艦,Myoukou #4,CA,Haguro Kai Ni,羽黑改二
66,59,0,66,高雄,たかお,重巡洋艦,Takao #1,CA,Takao,高雄
66,59,1,269,高雄改,たかお,重巡洋艦,Takao #1,CA,Takao Kai,高雄改
67,60,0,67,愛宕,あたご,重巡洋艦,Takao #2,CA,Atago,愛宕
67,60,1,270,愛宕改,あたご,重巡洋艦,Takao #2,CA,Atago Kai,愛宕改
68,61,0,68,摩耶,まや,重巡洋艦,Takao #3,CA,Maya,摩耶
68,61,1,271,摩耶改,まや,重巡洋艦,Takao #3,CA,Maya Kai,摩耶改
68,61,2,428,摩耶改二,まや,重巡洋艦,Takao #3,CA,Maya Kai Ni,摩耶改二
69,62,0,69,鳥海,ちょうかい,重巡洋艦,Takao #4,CA,Choukai,鳥海
69,62,1,272,鳥海改,ちょうかい,重巡洋艦,Takao #4,CA,Choukai Kai,鳥海改
69,62,2,427,鳥海改二,ちょうかい,重巡洋艦,Takao #4,CA,Choukai Kai Ni,鳥海改二
71,63,0,71,利根,とね,重巡洋艦,Tone #1,CA,Tone,利根
71,63,1,273,利根改,とね,重巡洋艦,Tone #1,CA,Tone Kai,利根改
71,63,2,188,利根改二,とね,航空巡洋艦,Tone #1,CAV,Tone Kai Ni,利根改二
72,64,0,72,筑摩,ちくま,重巡洋艦,Tone #2,CA,Chikuma,筑摩
72,64,1,274,筑摩改,ちくま,重巡洋艦,Tone #2,CA,Chikuma Kai,筑摩改
72,64,2,189,筑摩改二,ちくま,航空巡洋艦,Tone #2,CAV,Chikuma Kai Ni,筑摩改二
75,65,0,75,飛鷹,ひよう,軽空母,Hiyou #1,CVL,Hiyou,飛鷹
75,65,1,283,飛鷹改,ひよう,軽空母,Hiyou #1,CVL,Hiyou Kai,飛鷹改
92,66,0,92,隼鷹,じゅんよう,軽空母,Hiyou #2,CVL,Junyou,隼鷹
92,66,1,284,隼鷹改,じゅんよう,軽空母,Hiyou #2,CVL,Junyou Kai,隼鷹改
92,66,2,408,隼鷹改二,じゅんよう,軽空母,Hiyou #2,CVL,Junyou Kai Ni,隼鷹改二
93,67,0,93,朧,おぼろ,駆逐艦,Ayanami #7,DD,Oboro,朧
93,67,1,230,朧改,おぼろ,駆逐艦,Ayanami #7,DD,Oboro Kai,朧改
15,68,0,15,曙,あけぼの,駆逐艦,Ayanami #8,DD,Akebono,曙
15,68,1,231,曙改,あけぼの,駆逐艦,Ayanami #8,DD,Akebono Kai,曙改
15,68,2,665,曙改二,あけぼの,駆逐艦,Ayanami #8,DD,Akebono Kai Ni,曙改二
94,69,0,94,漣,さざなみ,駆逐艦,Ayanami #9,DD,Sazanami,漣
94,69,1,232,漣改,さざなみ,駆逐艦,Ayanami #9,DD,Sazanami Kai,漣改
16,70,0,16,潮,うしお,駆逐艦,Ayanami #10,DD,Ushio,潮
16,70,1,233,潮改,うしお,駆逐艦,Ayanami #10,DD,Ushio Kai,潮改
16,70,2,407,潮改二,うしお,駆逐艦,Ayanami #10,DD,Ushio Kai Ni,潮改二
34,71,0,34,暁,あかつき,駆逐艦,Akatsuki #1,DD,Akatsuki,曉
34,71,1,234,暁改,あかつき,駆逐艦,Akatsuki #1,DD,Akatsuki Kai,曉改
34,71,2,437,暁改二,あかつき,駆逐艦,Akatsuki #1,DD,Akatsuki Kai Ni,曉改二
35,72,0,35,響,ひびき,駆逐艦,Akatsuki #2,DD,Hibiki,響
35,72,1,235,響改,ひびき,駆逐艦,Akatsuki #2,DD,Hibiki Kai,響改
35,72,2,147,Верный,ひびき,駆逐艦,Akatsuki #2,DD,Verniy,信賴
36,73,0,36,雷,いかづち,駆逐艦,Akatsuki #3,DD,Ikazuchi,雷
36,73,1,236,雷改,いかづち,駆逐艦,Akatsuki #3,DD,Ikazuchi Kai,雷改
37,74,0,37,電,いなづま,駆逐艦,Akatsuki #4,DD,Inazuma,電
37,74,1,237,電改,いなづま,駆逐艦,Akatsuki #4,DD,Inazuma Kai,電改
38,75,0,38,初春,はつはる,駆逐艦,Hatsuharu #1,DD,Hatsuharu,初春
38,75,1,238,初春改,はつはる,駆逐艦,Hatsuharu #1,DD,Hatsuharu Kai,初春改
38,75,2,326,初春改二,はつはる,駆逐艦,Hatsuharu #1,DD,Hatsuharu Kai Ni,初春改二
39,76,0,39,子日,ねのひ,駆逐艦,Hatsuharu #2,DD,Nenohi,子日
39,76,1,239,子日改,ねのひ,駆逐艦,Hatsuharu #2,DD,Nenohi Kai,子日改
40,77,0,40,若葉,わかば,駆逐艦,Hatsuharu #3,DD,Wakaba,若葉
40,77,1,240,若葉改,わかば,駆逐艦,Hatsuharu #3,DD,Wakaba Kai,若葉改
41,78,0,41,初霜,はつしも,駆逐艦,Hatsuharu #4,DD,Hatsushimo,初霜
41,78,1,241,初霜改,はつしも,駆逐艦,Hatsuharu #4,DD,Hatsushimo Kai,初霜改
41,78,2,419,初霜改二,はつしも,駆逐艦,Hatsuharu #4,DD,Hatsushimo Kai Ni,初霜改二
42,79,0,42,白露,しらつゆ,駆逐艦,Shiratsuyu #1,DD,Shiratsuyu,白露
42,79,1,242,白露改,しらつゆ,駆逐艦,Shiratsuyu #1,DD,Shiratsuyu Kai,白露改
42,79,2,497,白露改二,しらつゆ,駆逐艦,Shiratsuyu #1,DD,Shiratsuyu Kai Ni,白露改二
43,80,0,43,時雨,しぐれ,駆逐艦,Shiratsuyu #2,DD,Shigure,時雨
43,80,1,243,時雨改,しぐれ,駆逐艦,Shiratsuyu #2,DD,Shigure Kai,時雨改
43,80,2,145,時雨改二,しぐれ,駆逐艦,Shiratsuyu #2,DD,Shigure Kai Ni,時雨改二
43,80,3,961,時雨改三,しぐれ,駆逐艦,Shiratsuyu #2,DD,Shigure Kai San,時雨改三
44,81,0,44,村雨,むらさめ,駆逐艦,Shiratsuyu #3,DD,Murasame,村雨
44,81,1,244,村雨改,むらさめ,駆逐艦,Shiratsuyu #3,DD,Murasame Kai,村雨改
44,81,2,498,村雨改二,むらさめ,駆逐艦,Shiratsuyu #3,DD,Murasame Kai Ni,村雨改二
45,82,0,45,夕立,ゆうだち,駆逐艦,Shiratsuyu #4,DD,Yuudachi,夕立
45,82,1,245,夕立改,ゆうだち,駆逐艦,Shiratsuyu #4,DD,Yuudachi Kai,夕立改
45,82,2,144,夕立改二,ゆうだち,駆逐艦,Shiratsuyu #4,DD,Yuudachi Kai Ni,夕立改二
46,83,0,46,五月雨,さみだれ,駆逐艦,Shiratsuyu #6,DD,Samidare,五月雨
46,83,1,246,五月雨改,さみだれ,駆逐艦,Shiratsuyu #6,DD,Samidare Kai,五月雨改
47,84,0,47,涼風,すずかぜ,駆逐艦,Shiratsuyu #10,DD,Suzukaze,涼風
47,84,1,247,涼風改,すずかぜ,駆逐艦,Shiratsuyu #10,DD,Suzukaze Kai,涼風改
95,85,0,95,朝潮,あさしお,駆逐艦,Asashio #1,DD,Asashio,朝潮
95,85,1,248,朝潮改,あさしお,駆逐艦,Asashio #1,DD,Asashio Kai,朝潮改
95,85,2,463,朝潮改二,あさしお,駆逐艦,Asashio #1,DD,Asashio Kai Ni,朝潮改二
95,85,3,468,朝潮改二丁,あさしお,駆逐艦,Asashio #1,DD,Asashio Kai Ni D,朝潮改二丁
96,86,0,96,大潮,おおしお,駆逐艦,Asashio #2,DD,Ooshio,大潮
96,86,1,249,大潮改,おおしお,駆逐艦,Asashio #2,DD,Ooshio Kai,大潮改
96,86,2,199,大潮改二,おおしお,駆逐艦,Asashio #2,DD,Ooshio Kai Ni,大潮改二
97,87,0,97,満潮,みちしお,駆逐艦,Asashio #3,DD,Michishio,滿潮
97,87,1,250,満潮改,みちしお,駆逐艦,Asashio #3,DD,Michishio Kai,滿潮改
97,87,2,489,満潮改二,みちしお,駆逐艦,Asashio #3,DD,Michishio Kai Ni,滿潮改二
98,88,0,98,荒潮,あらしお,駆逐艦,Asashio #4,DD,Arashio,荒潮
98,88,1,251,荒潮改,あらしお,駆逐艦,Asashio #4,DD,Arashio Kai,荒潮改
98,88,2,490,荒潮改二,あらしお,駆逐艦,Asashio #4,DD,Arashio Kai Ni,荒潮改二
48,89,0,48,霰,あられ,駆逐艦,Asashio #9,DD,Arare,霰
48,89,1,252,霰改,あられ,駆逐艦,Asashio #9,DD,Arare Kai,霰改
48,89,2,198,霰改二,あられ,駆逐艦,Asashio #9,DD,Arare Kai Ni,霰改二
49,90,0,49,霞,かすみ,駆逐艦,Asashio #10,DD,Kasumi,霞
49,90,1,253,霞改,かすみ,駆逐艦,Asashio #10,DD,Kasumi Kai,霞改
49,90,2,464,霞改二,かすみ,駆逐艦,Asashio #10,DD,Kasumi Kai Ni,霞改二
49,90,3,470,霞改二乙,かすみ,駆逐艦,Asashio #10,DD,Kasumi Kai Ni B,霞改二乙
17,91,0,17,陽炎,かげろう,駆逐艦,Kagerou #1,DD,Kagerou,陽炎
